iter	MultiCrossEntropy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9	F1:class=10	F1:class=11	F1:class=12	F1:class=13	F1:class=14	F1:class=15
0	0.6422571978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.5991818894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.5627677764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.5319358204	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06
4	0.5057189557	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06
5	0.4833062627	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06
6	0.4640247619	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06
7	0.4473348198	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06
8	0.4288685476	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06	7.194684567e-06
9	0.4127671201	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617	0.8243537617
10	0.3986732169	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983	0.8246694983
11	0.3862947778	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495
12	0.375388253	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495
13	0.3657537804	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495
14	0.355933428	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495
15	0.3472387981	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495
